othercatalognumbers,genericcolumn2,associatedCollectors,habitat,individualCount,reproductiveCondition,locality,locationRemarks,occurrenceRemarks,recordedBy,samplingEffort,substrate,associatedTaxa,eventDate,cultivationStatus,genericcolumn1,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,scientificName,scientificNameAuthorship,country,stateProvince,county,path
'50-75,,,,5,,,test location notes,,Caleb Powell,testing 0.58,,,2017-11-9,0,test field ID,,,,,lactifluus luteolus,,,,,
'10-5, ,"Kristen Powell, Patrick McClanahan, Tori McClanahan",yard,2,Peak Inflorescence, ,Rpowell, ,Caleb Powell, ,thanks, ,2017-07-30,0,poison ivy,35.00321,-85.09543,34.891,204,Abrodictyum cumingii,,,,,
'11-#, ,Caleb Powell,creek side, , ,1910 Waterbury Ln,back of property, ,Rosie Powell,Backyard, , ,2017-07-30,0, ,35.00318,-85.09538,15.17,207,,,,,,
'12-#, ,"Randy Powell, Cody Powell",pond, , ,Heritage Park Wetland. , , ,Caleb Powell, , , ,2017-07-30,0, ,35.0072,-85.14937,12.136,162,,,,,,
'12-7, ,"Randy Powell, Cody Powell",pond, ,Peak Inflorescence,Heritage Park Wetland. , ,Very abundant,Caleb Powell, , , ,2017-07-30,0, ,35.00713,-85.14938,18.204,175,Adiantopsis chlorophylla,,,,,
'13-#, ,"Randy Powell, Cody Powell",Creek bed, ,Peak Inflorescence,Heritage park stream. under entrance bridge., , ,Caleb Powell, , , ,2017-07-30,0, ,35.00895,-85.15108,16.687,187,,,,,,
'13-7, ,"Randy Powell, Cody Powell",Creek bed, ,Peak Inflorescence,Heritage park stream. under entrance bridge., , ,Caleb Powell, , , ,2017-07-30,0, ,35.00895,-85.15108,16.687,187,Pinus,,,,,
'13-8, ,"Randy Powell, Cody Powell",Creek bed,100,Vegetative,Heritage park stream. under entrance bridge., ,just above water level.,Caleb Powell, , , ,2017-07-30,0, ,35.0089,-85.15114,13.653,172,Austrolycopodium assurgens,,,,,
'19-#, , ,Riprap drainge ditch, , ,"""Super 8"" parking lot drainage ditch. Just below brand sign", , ,Caleb Powell, , , ,2017-08-4,0, ,37.74038,-88.9626,9.102,116,,,,,,
'19-10, , ,Riprap drainge ditch,7,Peak Inflorescence,"""Super 8"" parking lot drainage ditch. Just below brand sign", , ,Caleb Powell, , , ,2017-08-4,0, ,37.74038,-88.96258,10.619,106,Ginkgo biloba aurea,,,,,
'20-#, ,"Gracie Underwood, Chance Underwood, Rosie Powell",maintained lawn, ,Peak Inflorescence,"Centerville, behind Super 8 Hotel near deck.", , ,Caleb Powell, , , ,2017-08-4,0, ,40.74408,-92.86682,13.653,267,,,,,,
'20-11, ,"Gracie Underwood, Chance Underwood, Rosie Powell",maintained lawn,50,Peak Inflorescence,"Centerville, behind Super 8 Hotel near deck.", , ,Caleb Powell, , , ,2017-08-4,0, ,40.74388,-92.86661,13.653,274,tsuga canadensis,,,,,
'29-#, , , , , ,North of green briar picnic area. On land large mass dividing the stream., , ,Caleb Powell, , ,"tulip poplar, sycamore, oak, Hemlock",2017-8-20,0, ,35.71257,-83.38273,19.721,513,,,,,,
'29-13, , , ,3, ,North of green briar picnic area. On land large mass dividing the stream., ,milks white when damaged.,Caleb Powell, ,"moss covered, dark sandy soil.","tulip poplar, sycamore, oak, Hemlock",2017-8-20,0, ,35.71276,-83.38297,28.823,472,lilium canadense,,,,,
'29-14, , , , , ,North of green briar picnic area. On land large mass dividing the stream., , ,Caleb Powell, ,heavily decomposed wood. possibility hemlock,"tulip poplar, sycamore, oak, Hemlock",2017-8-20,0,tramedies versicolor,35.71343,-83.3826,28.823,448,lilium michiganense,,,,,
'29-15, , , , , ,North of green briar picnic area. On land large mass dividing the stream., , ,Caleb Powell, ,"on standing, dead hemlock","tulip poplar, sycamore, oak, Hemlock",2017-8-20,0,Ganoderma Tsuga,35.71379,-83.38281,25.789,506,Pinus taeda,,,,,
'18-#, ,Torey Jones,trail side, , ,Kiddie Trail apprx. 1km from trail head., , ,Caleb Powell, , , ,2017-09-7,0, ,35.00939,-85.36194,27.306,184,,,,,,
